2022-11-16 21:50:09,440 INFO    Thread-76 :143091 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-16 21:50:09,442 INFO    Thread-76 :143091 [wandb_init.py:init():580] backend started and connected
2022-11-16 21:50:09,452 INFO    Thread-76 :143091 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 128, 'dropout': 0.2499765962052932, 'epochs': 58, 'learning_rate': 0.09428231213293936, 'size_1': 88, 'size_2': 210, 'size_3': 109, 'size_4': 69, 'size_5': 120}
2022-11-16 21:50:09,453 INFO    Thread-76 :143091 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-16 21:50:09,453 INFO    Thread-76 :143091 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-16 21:50:09,453 INFO    Thread-76 :143091 [wandb_init.py:init():658] updated telemetry
2022-11-16 21:50:09,474 INFO    Thread-76 :143091 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-16 21:50:09,697 INFO    Thread-76 :143091 [wandb_run.py:_on_init():2000] communicating current version
2022-11-16 21:50:09,724 INFO    Thread-76 :143091 [wandb_run.py:_on_init():2004] got version response 
2022-11-16 21:50:09,724 INFO    Thread-76 :143091 [wandb_init.py:init():728] starting run threads in backend
2022-11-16 21:50:12,918 INFO    Thread-76 :143091 [wandb_run.py:_console_start():1980] atexit reg
2022-11-16 21:50:12,918 INFO    Thread-76 :143091 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-16 21:50:12,918 INFO    Thread-76 :143091 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-16 21:50:12,918 INFO    Thread-76 :143091 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-16 21:50:12,919 INFO    Thread-76 :143091 [wandb_init.py:init():765] run started, returning control to user process
2022-11-16 21:52:01,441 INFO    Thread-76 :143091 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project/lj8bt2ty
2022-11-16 21:52:01,441 INFO    Thread-76 :143091 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-16 21:52:01,441 INFO    Thread-76 :143091 [wandb_run.py:_restore():1932] restore
2022-11-16 21:52:01,442 INFO    Thread-76 :143091 [wandb_run.py:_restore():1938] restore done
2022-11-16 21:52:07,344 INFO    Thread-76 :143091 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-16 21:52:07,345 INFO    Thread-76 :143091 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-16 21:52:07,347 INFO    Thread-76 :143091 [wandb_run.py:_footer_sync_info():3333] logging synced files
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_setup.py:_flush():68] Configure stats pid to 143091
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': 'x91jwe8p', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-wl0oejnj/config-x91jwe8p.yaml', 'sweep_id': 'wl0oejnj'}
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_215212-x91jwe8p/logs/debug.log
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_215212-x91jwe8p/logs/debug-internal.log
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_init.py:init():516] calling init triggers
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 128, 'dropout': 0.22524756172775695, 'epochs': 82, 'learning_rate': 0.04011149183896099, 'size_1': 93, 'size_2': 98, 'size_3': 165, 'size_4': 66, 'size_5': 67}
config: {}
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_init.py:init():569] starting backend
2022-11-16 21:52:12,297 INFO    Thread-114:143091 [wandb_init.py:init():573] setting up manager
2022-11-16 21:52:12,301 INFO    Thread-114:143091 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-16 21:52:12,303 INFO    Thread-114:143091 [wandb_init.py:init():580] backend started and connected
2022-11-16 21:52:12,309 INFO    Thread-114:143091 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 128, 'dropout': 0.22524756172775695, 'epochs': 82, 'learning_rate': 0.04011149183896099, 'size_1': 93, 'size_2': 98, 'size_3': 165, 'size_4': 66, 'size_5': 67}
2022-11-16 21:52:12,310 INFO    Thread-114:143091 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-16 21:52:12,310 INFO    Thread-114:143091 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-16 21:52:12,310 INFO    Thread-114:143091 [wandb_init.py:init():658] updated telemetry
2022-11-16 21:52:12,331 INFO    Thread-114:143091 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-16 21:52:12,555 INFO    Thread-114:143091 [wandb_run.py:_on_init():2000] communicating current version
2022-11-16 21:52:12,586 INFO    Thread-114:143091 [wandb_run.py:_on_init():2004] got version response 
2022-11-16 21:52:12,586 INFO    Thread-114:143091 [wandb_init.py:init():728] starting run threads in backend
2022-11-16 21:52:15,866 INFO    Thread-114:143091 [wandb_run.py:_console_start():1980] atexit reg
2022-11-16 21:52:15,866 INFO    Thread-114:143091 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-16 21:52:15,866 INFO    Thread-114:143091 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-16 21:52:15,866 INFO    Thread-114:143091 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-16 21:52:15,866 INFO    Thread-114:143091 [wandb_init.py:init():765] run started, returning control to user process
2022-11-16 21:54:28,526 INFO    Thread-114:143091 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project/x91jwe8p
2022-11-16 21:54:28,526 INFO    Thread-114:143091 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-16 21:54:28,527 INFO    Thread-114:143091 [wandb_run.py:_restore():1932] restore
2022-11-16 21:54:28,527 INFO    Thread-114:143091 [wandb_run.py:_restore():1938] restore done
2022-11-16 21:54:32,745 INFO    Thread-114:143091 [wandb_run.py:_footer_history_summary_info():3377] rendering history
